,CTS,PNID,NAME,VAL
48,2021-12-07 00:02:31 IST+0530,256782425,CHARGE_STATE,76.8
49,2021-12-07 00:22:27 IST+0530,255506821,IGN_CYL,OFF
50,2021-12-07 00:22:32 IST+0530,255506821,CHARGE_STATE,67.4
51,2021-12-06 23:41:45 IST+0530,255506821,IGN_CYL,ON
52,2021-12-06 23:41:47 IST+0530,255506821,CHARGE_STATE,70.9
53,2021-12-07 02:18:22 IST+0530,206958332,IGN_CYL,ON
54,2021-12-07 02:08:36 IST+0530,266214265,IGN_CYL,OFF
55,2021-12-07 02:08:41 IST+0530,266214265,CHARGE_STATE,38.8
56,2021-12-07 01:33:33 IST+0530,266214265,IGN_CYL,OFF
57,2021-12-07 01:40:00 IST+0530,266214265,IGN_CYL,OFF
58,2021-12-07 01:40:04 IST+0530,266214265,CHARGE_STATE,39.6
59,2021-12-07 02:26:15 IST+0530,206958332,IGN_CYL,OFF
60,2021-12-07 02:26:53 IST+0530,206958332,IGN_CYL,ON
61,2021-12-07 02:26:54 IST+0530,206958332,CHARGE_STATE,87.4
62,2021-12-07 01:45:52 IST+0530,256782425,IGN_CYL,ON
63,2021-12-07 01:45:53 IST+0530,256782425,CHARGE_STATE,74.1
64,2021-12-07 02:26:15 IST+0530,206958332,IGN_CYL,OFF
65,2021-12-07 02:26:53 IST+0530,206958332,IGN_CYL,ON
66,2021-12-07 02:26:54 IST+0530,206958332,CHARGE_STATE,87.4
67,2021-12-07 01:31:33 IST+0530,266214265,IGN_CYL,ON
68,2021-12-07 01:31:34 IST+0530,266214265,CHARGE_STATE,40.7
69,2021-12-07 01:53:07 IST+0530,255506821,IGN_CYL,ON
70,2021-12-07 01:53:09 IST+0530,255506821,CHARGE_STATE,62.7
71,2021-12-07 01:48:29 IST+0530,255506821,IGN_CYL,OFF
72,2021-12-07 01:48:35 IST+0530,255506821,CHARGE_STATE,63.5
73,2021-12-07 02:26:03 IST+0530,206958332,IGN_CYL,ON
74,2021-12-07 02:23:04 IST+0530,206958332,IGN_CYL,OFF
75,2021-12-07 02:15:37 IST+0530,256782425,IGN_CYL,ON
76,2021-12-07 02:15:38 IST+0530,256782425,CHARGE_STATE,78.4
77,2021-12-07 02:11:52 IST+0530,256782425,IGN_CYL,OFF
78,2021-12-07 02:11:55 IST+0530,256782425,CHARGE_STATE,78.4
79,2021-12-07 02:28:37 IST+0530,206958332,IGN_CYL,OFF
80,2021-12-07 01:34:41 IST+0530,266214265,IGN_CYL,ON
81,2021-12-07 01:34:43 IST+0530,266214265,CHARGE_STATE,40.7
82,2021-12-07 01:49:27 IST+0530,256782425,EV_CHARGE_STATE,Aborted
83,2021-12-07 01:49:28 IST+0530,256782425,CHARGE_STATE,74.1
84,2021-12-07 01:49:57 IST+0530,256782425,EV_CHARGE_STATE,Aborted
85,2021-12-07 01:50:14 IST+0530,256782425,IGN_CYL,ON
86,2021-12-07 01:50:16 IST+0530,256782425,CHARGE_STATE,74.1
87,2021-12-07 02:16:42 IST+0530,255506821,IGN_CYL,ON
88,2021-12-07 02:16:43 IST+0530,255506821,CHARGE_STATE,62.7
89,2021-12-07 02:02:26 IST+0530,266214265,IGN_CYL,ON
90,2021-12-07 02:02:27 IST+0530,266214265,CHARGE_STATE,40.7
91,2021-12-07 01:58:59 IST+0530,258703729,EV_CHARGE_STATE,Aborted
92,2021-12-07 01:58:59 IST+0530,258703729,CHARGE_STATE,60.0
93,2021-12-06 22:05:51 IST+0530,258703729,EV_CHARGE_STATE,Active
94,2021-12-07 02:00:07 IST+0530,258703729,IGN_CYL,ON
95,2021-12-07 02:05:23 IST+0530,258703729,IGN_CYL,OFF
96,2021-12-07 01:54:15 IST+0530,255506821,IGN_CYL,OFF
97,2021-12-07 01:54:20 IST+0530,255506821,CHARGE_STATE,62.7
98,2021-12-07 02:18:22 IST+0530,206958332,IGN_CYL,ON
99,2021-12-07 02:29:05 IST+0530,255506821,IGN_CYL,ON
100,2021-12-07 02:29:07 IST+0530,255506821,CHARGE_STATE,62.7
101,2021-12-07 02:18:14 IST+0530,255506821,IGN_CYL,OFF
102,2021-12-07 02:18:18 IST+0530,255506821,CHARGE_STATE,62.7
103,2021-12-07 02:23:04 IST+0530,206958332,IGN_CYL,OFF
104,2021-12-07 01:47:41 IST+0530,256782425,IGN_CYL,OFF
105,2021-12-07 01:47:44 IST+0530,256782425,CHARGE_STATE,74.1
106,2021-12-07 02:26:03 IST+0530,206958332,IGN_CYL,ON
107,2021-12-07 02:03:32 IST+0530,256782425,EV_CHARGE_STATE,Aborted
108,2021-12-07 02:04:00 IST+0530,256782425,IGN_CYL,ON
109,2021-12-07 02:04:01 IST+0530,256782425,CHARGE_STATE,79.6
110,2021-12-07 01:50:30 IST+0530,256782425,IGN_CYL,OFF
111,2021-12-07 01:50:38 IST+0530,256782425,CHARGE_STATE,74.1
112,2021-12-07 01:51:38 IST+0530,256782425,EV_CHARGE_STATE,Active
113,2021-12-07 02:28:37 IST+0530,206958332,IGN_CYL,OFF
114,2021-12-05 04:25:25 IST+0530,207925262,IGN_CYL,OFF
115,2021-12-05 04:25:27 IST+0530,207925262,CHARGE_STATE,72.1
116,2021-12-05 04:23:57 IST+0530,255506821,IGN_CYL,ON
117,2021-12-05 04:23:59 IST+0530,255506821,CHARGE_STATE,83.1
118,2021-12-05 04:29:28 IST+0530,207925484,IGN_CYL,OFF
119,2021-12-05 04:29:31 IST+0530,207925484,CHARGE_STATE,32.1
120,2021-12-05 04:30:19 IST+0530,207925484,EV_CHARGE_STATE,Aborted
121,2021-12-05 03:36:11 IST+0530,207925262,IGN_CYL,OFF
122,2021-12-05 03:36:13 IST+0530,207925262,CHARGE_STATE,73.7
123,2021-12-05 03:40:20 IST+0530,265888189,EV_CHARGE_STATE,Aborted
124,2021-12-05 03:41:21 IST+0530,265888189,IGN_CYL,ON
125,2021-12-05 03:41:23 IST+0530,265888189,CHARGE_STATE,81.1
126,2021-12-05 03:05:12 IST+0530,265888189,EV_CHARGE_STATE,Active
127,2021-12-05 04:00:17 IST+0530,207925262,IGN_CYL,ON
128,2021-12-05 04:00:17 IST+0530,207925262,CHARGE_STATE,73.3
129,2021-12-05 03:45:01 IST+0530,207925262,IGN_CYL,OFF
130,2021-12-05 03:45:03 IST+0530,207925262,CHARGE_STATE,73.3
131,2021-12-05 03:36:42 IST+0530,207925262,IGN_CYL,ON
132,2021-12-05 03:36:42 IST+0530,207925262,CHARGE_STATE,73.7
133,2021-12-05 03:03:54 IST+0530,265888189,EV_CHARGE_STATE,Aborted
134,2021-12-05 04:08:32 IST+0530,255506821,IGN_CYL,OFF
135,2021-12-05 04:08:37 IST+0530,255506821,CHARGE_STATE,83.9
136,2021-12-05 04:08:42 IST+0530,255506821,IGN_CYL,ON
137,2021-12-05 04:08:46 IST+0530,255506821,CHARGE_STATE,83.9
138,2021-12-05 04:09:14 IST+0530,255506821,IGN_CYL,OFF
139,2021-12-05 03:47:52 IST+0530,255506821,IGN_CYL,ON
140,2021-12-05 03:47:54 IST+0530,255506821,CHARGE_STATE,87.4
141,2021-12-05 02:06:09 IST+0530,206958332,IGN_CYL,ON
142,2021-12-05 02:06:10 IST+0530,206958332,CHARGE_STATE,63.1
143,2021-12-05 02:06:30 IST+0530,265888189,IGN_CYL,OFF
144,2021-12-05 02:06:35 IST+0530,265888189,CHARGE_STATE,41.1
145,2021-12-05 02:06:09 IST+0530,206958332,IGN_CYL,ON
146,2021-12-05 02:06:10 IST+0530,206958332,CHARGE_STATE,63.1
147,2021-12-05 01:51:56 IST+0530,207925262,IGN_CYL,ON
148,2021-12-05 01:51:57 IST+0530,207925262,CHARGE_STATE,82.3
149,2021-12-05 01:34:36 IST+0530,265888189,IGN_CYL,ON
150,2021-12-05 01:34:37 IST+0530,265888189,CHARGE_STATE,47.4
151,2021-12-05 02:42:41 IST+0530,256782425,IGN_CYL,OFF
152,2021-12-04 04:51:56 IST+0530,258703729,IGN_CYL,OFF
153,2021-12-04 06:59:43 IST+0530,258703729,IGN_CYL,OFF
154,2021-12-04 07:12:26 IST+0530,258703729,IGN_CYL,OFF
155,2021-12-04 09:48:44 IST+0530,258703729,IGN_CYL,OFF
156,2021-12-05 00:01:04 IST+0530,258703729,IGN_CYL,OFF
157,2021-12-05 00:28:28 IST+0530,258703729,IGN_CYL,OFF
158,2021-12-05 00:42:52 IST+0530,258703729,IGN_CYL,OFF
159,2021-12-05 00:42:58 IST+0530,258703729,CHARGE_STATE,49.4
160,2021-12-05 00:49:59 IST+0530,258703729,IGN_CYL,OFF
161,2021-12-05 02:29:49 IST+0530,258703729,IGN_CYL,OFF
162,2021-12-05 02:32:42 IST+0530,258703729,IGN_CYL,OFF
163,2021-12-04 06:58:10 IST+0530,258703729,EV_CHARGE_STATE,Aborted
164,2021-12-04 06:58:11 IST+0530,258703729,CHARGE_STATE,33.7
165,2021-12-04 08:58:12 IST+0530,258703729,EV_CHARGE_STATE,Aborted
166,2021-12-04 23:58:04 IST+0530,258703729,EV_CHARGE_STATE,Aborted
167,2021-12-05 02:28:06 IST+0530,258703729,EV_CHARGE_STATE,Aborted
168,2021-12-05 02:28:07 IST+0530,258703729,CHARGE_STATE,51.7
169,2021-12-04 06:58:16 IST+0530,258703729,IGN_CYL,ON
170,2021-12-04 06:58:19 IST+0530,258703729,CHARGE_STATE,33.7
171,2021-12-04 07:11:12 IST+0530,258703729,IGN_CYL,ON
172,2021-12-04 07:11:14 IST+0530,258703729,CHARGE_STATE,33.7
173,2021-12-04 08:58:22 IST+0530,258703729,IGN_CYL,ON
174,2021-12-04 08:58:23 IST+0530,258703729,CHARGE_STATE,36.0
175,2021-12-04 23:58:06 IST+0530,258703729,IGN_CYL,ON
176,2021-12-05 00:20:28 IST+0530,258703729,IGN_CYL,ON
177,2021-12-05 00:36:04 IST+0530,258703729,IGN_CYL,ON
178,2021-12-05 00:36:05 IST+0530,258703729,CHARGE_STATE,49.8
179,2021-12-05 00:47:00 IST+0530,258703729,IGN_CYL,ON
180,2021-12-05 02:28:18 IST+0530,258703729,IGN_CYL,ON
181,2021-12-05 02:28:21 IST+0530,258703729,CHARGE_STATE,51.7
182,2021-12-05 02:31:28 IST+0530,258703729,IGN_CYL,ON
183,2021-12-05 02:31:31 IST+0530,258703729,CHARGE_STATE,51.7
184,2021-12-04 04:53:01 IST+0530,258703729,EV_CHARGE_STATE,Active
185,2021-12-04 07:12:52 IST+0530,258703729,EV_CHARGE_STATE,Active
186,2021-12-04 10:45:08 IST+0530,258703729,EV_CHARGE_STATE,Active
187,2021-12-04 10:45:08 IST+0530,258703729,CHARGE_STATE,30.9
188,2021-12-05 00:49:58 IST+0530,258703729,EV_CHARGE_STATE,Active
189,2021-12-05 00:50:07 IST+0530,258703729,EV_CHARGE_STATE,Active
190,2021-12-05 02:41:55 IST+0530,258703729,IGN_CYL,ON
191,2021-12-05 03:19:41 IST+0530,207925262,IGN_CYL,ON
192,2021-12-05 03:19:41 IST+0530,207925262,CHARGE_STATE,73.7
193,2021-12-05 02:30:54 IST+0530,206958332,IGN_CYL,OFF
194,2021-12-05 02:07:40 IST+0530,265888189,EV_CHARGE_STATE,Active
195,2021-12-05 03:03:25 IST+0530,265888189,IGN_CYL,OFF
196,2021-12-05 03:02:39 IST+0530,265888189,IGN_CYL,ON
197,2021-12-05 03:02:42 IST+0530,265888189,CHARGE_STATE,50.5
198,2021-12-05 02:15:47 IST+0530,265888189,EV_CHARGE_STATE,Aborted
199,2021-12-05 03:02:09 IST+0530,265888189,EV_CHARGE_STATE,Aborted
200,2021-12-05 03:03:48 IST+0530,207925262,IGN_CYL,OFF
201,2021-12-05 03:03:49 IST+0530,207925262,CHARGE_STATE,73.7
202,2021-12-04 04:51:56 IST+0530,258703729,IGN_CYL,OFF
203,2021-12-04 06:59:43 IST+0530,258703729,IGN_CYL,OFF
204,2021-12-04 07:12:26 IST+0530,258703729,IGN_CYL,OFF
205,2021-12-04 09:48:44 IST+0530,258703729,IGN_CYL,OFF
206,2021-12-05 00:01:04 IST+0530,258703729,IGN_CYL,OFF
207,2021-12-05 00:28:28 IST+0530,258703729,IGN_CYL,OFF
208,2021-12-05 00:42:52 IST+0530,258703729,IGN_CYL,OFF
209,2021-12-05 00:42:58 IST+0530,258703729,CHARGE_STATE,49.4
210,2021-12-05 00:49:59 IST+0530,258703729,IGN_CYL,OFF
211,2021-12-05 02:29:49 IST+0530,258703729,IGN_CYL,OFF
212,2021-12-05 02:32:42 IST+0530,258703729,IGN_CYL,OFF
213,2021-12-04 06:58:10 IST+0530,258703729,EV_CHARGE_STATE,Aborted
214,2021-12-04 06:58:11 IST+0530,258703729,CHARGE_STATE,33.7
215,2021-12-04 08:58:12 IST+0530,258703729,EV_CHARGE_STATE,Aborted
216,2021-12-04 23:58:04 IST+0530,258703729,EV_CHARGE_STATE,Aborted
217,2021-12-05 02:28:06 IST+0530,258703729,EV_CHARGE_STATE,Aborted
218,2021-12-05 02:28:07 IST+0530,258703729,CHARGE_STATE,51.7
219,2021-12-04 06:58:16 IST+0530,258703729,IGN_CYL,ON
220,2021-12-04 06:58:19 IST+0530,258703729,CHARGE_STATE,33.7
221,2021-12-04 07:11:12 IST+0530,258703729,IGN_CYL,ON
222,2021-12-04 07:11:14 IST+0530,258703729,CHARGE_STATE,33.7
223,2021-12-04 08:58:22 IST+0530,258703729,IGN_CYL,ON
224,2021-12-04 08:58:23 IST+0530,258703729,CHARGE_STATE,36.0
225,2021-12-04 23:58:06 IST+0530,258703729,IGN_CYL,ON
226,2021-12-05 00:20:28 IST+0530,258703729,IGN_CYL,ON
227,2021-12-05 00:36:04 IST+0530,258703729,IGN_CYL,ON
228,2021-12-05 00:36:05 IST+0530,258703729,CHARGE_STATE,49.8
229,2021-12-05 00:47:00 IST+0530,258703729,IGN_CYL,ON
230,2021-12-05 02:28:18 IST+0530,258703729,IGN_CYL,ON
231,2021-12-05 02:28:21 IST+0530,258703729,CHARGE_STATE,51.7
232,2021-12-05 02:31:28 IST+0530,258703729,IGN_CYL,ON
233,2021-12-05 02:31:31 IST+0530,258703729,CHARGE_STATE,51.7
234,2021-12-04 04:53:01 IST+0530,258703729,EV_CHARGE_STATE,Active
235,2021-12-04 07:12:52 IST+0530,258703729,EV_CHARGE_STATE,Active
236,2021-12-04 10:45:08 IST+0530,258703729,EV_CHARGE_STATE,Active
237,2021-12-04 10:45:08 IST+0530,258703729,CHARGE_STATE,30.9
238,2021-12-05 00:49:58 IST+0530,258703729,EV_CHARGE_STATE,Active
239,2021-12-05 00:50:07 IST+0530,258703729,EV_CHARGE_STATE,Active
240,2021-12-05 02:53:42 IST+0530,207925262,IGN_CYL,OFF
241,2021-12-05 02:53:45 IST+0530,207925262,CHARGE_STATE,73.7
242,2021-12-05 02:55:46 IST+0530,258703729,IGN_CYL,OFF
243,2021-12-05 02:30:54 IST+0530,206958332,IGN_CYL,OFF
244,2021-12-05 02:40:56 IST+0530,256782425,IGN_CYL,ON
245,2021-12-05 02:41:03 IST+0530,256782425,CHARGE_STATE,91.7
246,2021-12-08 00:05:13 IST+0530,256782425,IGN_CYL,ON
247,2021-12-08 00:05:15 IST+0530,256782425,CHARGE_STATE,80.7
248,2021-12-08 00:26:02 IST+0530,255506821,IGN_CYL,ON
249,2021-12-08 00:26:04 IST+0530,255506821,CHARGE_STATE,52.5
250,2021-12-08 00:13:21 IST+0530,255506821,IGN_CYL,ON
251,2021-12-08 00:13:23 IST+0530,255506821,CHARGE_STATE,53.3
252,2021-12-08 00:21:55 IST+0530,255506821,IGN_CYL,OFF
253,2021-12-08 00:22:00 IST+0530,255506821,CHARGE_STATE,52.9
254,2021-12-08 00:17:45 IST+0530,258754391,EV_CHARGE_STATE,Aborted
255,2021-12-08 00:17:45 IST+0530,258754391,CHARGE_STATE,37.2
256,2021-12-07 23:39:43 IST+0530,207925262,IGN_CYL,ON
257,2021-12-07 23:39:43 IST+0530,207925262,CHARGE_STATE,76.8
258,2021-12-07 23:45:19 IST+0530,255506821,IGN_CYL,OFF
259,2021-12-07 23:45:24 IST+0530,255506821,CHARGE_STATE,54.1
260,2021-12-08 00:08:59 IST+0530,256782425,IGN_CYL,OFF
261,2021-12-08 00:09:04 IST+0530,256782425,CHARGE_STATE,80.7
262,2021-12-08 00:10:38 IST+0530,256782425,IGN_CYL,ON
263,2021-12-08 00:10:40 IST+0530,256782425,CHARGE_STATE,80.7
264,2021-12-08 00:17:45 IST+0530,258754391,EV_CHARGE_STATE,Aborted
265,2021-12-08 00:17:45 IST+0530,258754391,CHARGE_STATE,37.2
266,2021-12-08 00:19:51 IST+0530,256782425,IGN_CYL,OFF
267,2021-12-08 00:19:55 IST+0530,256782425,CHARGE_STATE,80.0
268,2021-12-08 00:10:32 IST+0530,207925262,IGN_CYL,OFF
269,2021-12-08 00:10:34 IST+0530,207925262,CHARGE_STATE,76.0
270,2021-12-08 00:46:40 IST+0530,258703729,IGN_CYL,ON
271,2021-12-08 00:46:47 IST+0530,258703729,CHARGE_STATE,83.9
272,2021-12-08 01:23:38 IST+0530,258703729,IGN_CYL,OFF
273,2021-12-08 01:25:21 IST+0530,207925262,IGN_CYL,ON
274,2021-12-08 01:25:22 IST+0530,207925262,CHARGE_STATE,75.2
275,2021-12-08 00:35:03 IST+0530,255506821,IGN_CYL,ON
276,2021-12-08 00:35:05 IST+0530,255506821,CHARGE_STATE,51.7
277,2021-12-08 00:35:51 IST+0530,255506821,IGN_CYL,OFF
278,2021-12-08 00:35:55 IST+0530,255506821,CHARGE_STATE,51.7
279,2021-12-09 08:10:30 IST+0530,207925262,IGN_CYL,OFF
280,2021-12-09 08:10:32 IST+0530,207925262,CHARGE_STATE,56.8
281,2021-12-09 08:11:22 IST+0530,207925262,IGN_CYL,ON
282,2021-12-09 08:11:22 IST+0530,207925262,CHARGE_STATE,56.8
283,2021-12-09 08:12:12 IST+0530,207925262,IGN_CYL,OFF
284,2021-12-09 08:12:14 IST+0530,207925262,CHARGE_STATE,56.8
285,2021-12-09 07:41:34 IST+0530,270129825,EV_CHARGE_STATE,Active
286,2021-12-09 07:41:34 IST+0530,270129825,CHARGE_STATE,83.9
287,2021-12-09 07:40:09 IST+0530,255506821,IGN_CYL,OFF
288,2021-12-09 07:40:14 IST+0530,255506821,CHARGE_STATE,50.9
289,2021-12-09 08:04:08 IST+0530,207925262,IGN_CYL,OFF
290,2021-12-09 08:04:09 IST+0530,207925262,CHARGE_STATE,57.6
291,2021-12-09 08:13:54 IST+0530,207925262,IGN_CYL,ON
292,2021-12-09 08:13:54 IST+0530,207925262,CHARGE_STATE,56.8
293,2021-12-09 08:17:15 IST+0530,207925262,IGN_CYL,OFF
294,2021-12-09 08:17:17 IST+0530,207925262,CHARGE_STATE,56.4
295,2021-12-09 07:46:36 IST+0530,255506821,IGN_CYL,ON
296,2021-12-09 07:46:40 IST+0530,255506821,CHARGE_STATE,50.9
297,2021-12-09 07:52:51 IST+0530,255506821,IGN_CYL,OFF
298,2021-12-09 07:52:57 IST+0530,255506821,CHARGE_STATE,50.9
299,2021-12-09 07:57:49 IST+0530,207925262,IGN_CYL,ON
300,2021-12-09 07:57:49 IST+0530,207925262,CHARGE_STATE,58.0
301,2021-12-09 08:06:31 IST+0530,207925262,IGN_CYL,ON
302,2021-12-09 08:06:31 IST+0530,207925262,CHARGE_STATE,57.6
303,2021-12-09 07:51:49 IST+0530,266214265,IGN_CYL,OFF
304,2021-12-09 07:51:54 IST+0530,266214265,CHARGE_STATE,21.5
305,2021-12-09 07:35:15 IST+0530,255506821,IGN_CYL,ON
306,2021-12-09 07:35:18 IST+0530,255506821,CHARGE_STATE,51.7
307,2021-12-09 06:22:57 IST+0530,270129825,IGN_CYL,OFF
308,2021-12-09 06:23:01 IST+0530,270129825,CHARGE_STATE,86.2
309,2021-12-09 06:23:05 IST+0530,270129825,IGN_CYL,ON
310,2021-12-09 05:57:08 IST+0530,255506821,IGN_CYL,OFF
311,2021-12-09 05:57:13 IST+0530,255506821,CHARGE_STATE,52.9
312,2021-12-09 05:41:13 IST+0530,207925262,IGN_CYL,OFF
313,2021-12-09 05:41:14 IST+0530,207925262,CHARGE_STATE,59.6
314,2021-12-09 05:42:47 IST+0530,255506821,IGN_CYL,OFF
315,2021-12-09 05:42:52 IST+0530,255506821,CHARGE_STATE,54.1
316,2021-12-09 05:43:32 IST+0530,255506821,IGN_CYL,ON
317,2021-12-09 05:43:34 IST+0530,255506821,CHARGE_STATE,54.1
318,2021-12-09 05:41:02 IST+0530,255506821,IGN_CYL,ON
319,2021-12-09 05:41:03 IST+0530,255506821,CHARGE_STATE,54.1
320,2021-12-09 05:36:10 IST+0530,270768911,IGN_CYL,OFF
321,2021-12-09 05:36:15 IST+0530,270768911,CHARGE_STATE,27.8
322,2021-12-09 06:08:53 IST+0530,255506821,IGN_CYL,OFF
323,2021-12-09 06:09:00 IST+0530,255506821,CHARGE_STATE,51.3
324,2021-12-09 06:02:00 IST+0530,255506821,IGN_CYL,ON
325,2021-12-09 06:02:02 IST+0530,255506821,CHARGE_STATE,52.5
326,2021-12-09 05:55:33 IST+0530,270129825,EV_CHARGE_STATE,Aborted
327,2021-12-09 05:55:54 IST+0530,270129825,IGN_CYL,ON
328,2021-12-09 05:55:57 IST+0530,270129825,CHARGE_STATE,87.0
329,2021-12-09 07:12:27 IST+0530,266214265,IGN_CYL,ON
330,2021-12-09 07:12:29 IST+0530,266214265,CHARGE_STATE,23.9
331,2021-12-09 07:16:21 IST+0530,266214265,IGN_CYL,OFF
332,2021-12-09 07:16:25 IST+0530,266214265,CHARGE_STATE,23.5
333,2021-12-09 07:19:23 IST+0530,207925262,IGN_CYL,OFF
334,2021-12-09 07:19:25 IST+0530,207925262,CHARGE_STATE,58.8
335,2021-12-09 07:19:50 IST+0530,266214265,IGN_CYL,ON
336,2021-12-09 07:19:52 IST+0530,266214265,CHARGE_STATE,23.9
337,2021-12-09 06:50:33 IST+0530,266214265,IGN_CYL,OFF
338,2021-12-09 06:50:40 IST+0530,266214265,CHARGE_STATE,25.0
339,2021-12-09 06:51:57 IST+0530,266214265,IGN_CYL,ON
340,2021-12-09 06:51:59 IST+0530,266214265,CHARGE_STATE,25.0
341,2021-12-09 06:52:14 IST+0530,266214265,IGN_CYL,OFF
342,2021-12-09 06:52:21 IST+0530,266214265,CHARGE_STATE,25.0
343,2021-12-09 06:53:35 IST+0530,266214265,IGN_CYL,OFF
344,2021-12-09 06:53:42 IST+0530,266214265,CHARGE_STATE,25.0
345,2021-12-09 06:53:41 IST+0530,266214265,IGN_CYL,ON
346,2021-12-09 06:49:35 IST+0530,266214265,IGN_CYL,OFF
347,2021-12-09 06:50:08 IST+0530,266214265,IGN_CYL,ON
348,2021-12-09 06:50:10 IST+0530,266214265,CHARGE_STATE,25.0
349,2021-12-09 07:01:37 IST+0530,266214265,IGN_CYL,OFF
350,2021-12-09 07:01:41 IST+0530,266214265,CHARGE_STATE,25.0
351,2021-12-09 07:05:39 IST+0530,207925262,IGN_CYL,ON
352,2021-12-09 07:05:40 IST+0530,207925262,CHARGE_STATE,60.0
353,2021-12-09 07:05:59 IST+0530,266214265,IGN_CYL,OFF
354,2021-12-09 07:05:57 IST+0530,266214265,IGN_CYL,ON
355,2021-12-09 07:05:59 IST+0530,266214265,CHARGE_STATE,24.7
356,2021-12-09 07:07:05 IST+0530,266214265,IGN_CYL,ON
357,2021-12-09 07:07:07 IST+0530,266214265,CHARGE_STATE,24.7
358,2021-12-09 07:11:02 IST+0530,266214265,IGN_CYL,OFF
359,2021-12-09 07:11:07 IST+0530,266214265,CHARGE_STATE,24.7
360,2021-12-09 06:48:06 IST+0530,266214265,IGN_CYL,ON
361,2021-12-09 06:48:08 IST+0530,266214265,CHARGE_STATE,25.0
362,2021-12-09 06:31:41 IST+0530,270129825,IGN_CYL,OFF
363,2021-12-09 06:31:47 IST+0530,270129825,CHARGE_STATE,83.9
364,2021-12-09 00:55:42 IST+0530,256782425,IGN_CYL,OFF
365,2021-12-09 00:55:46 IST+0530,256782425,CHARGE_STATE,70.1
366,2021-12-09 01:01:55 IST+0530,256782425,IGN_CYL,OFF
